Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-30,133.9199981689453,326.8032531738281,378.2106018066406,467.636962890625,133.9199981689453,327.1499938964844,378.9100036621094,467.70001220703125,136.9600067138672,333.5,380.0899963378906,481.1000061035156,132.7899932861328,322.3999938964844,375.4700012207031,464.2200012207031,136.39999389648438,331.8900146484375,378.489990234375,480.239990234375,29913500,23146400,30554400,52624700
2023-12-01,133.32000732421875,324.4757385253906,373.8187255859375,467.5869445800781,133.32000732421875,324.82000732421875,374.510009765625,467.6499938964844,133.5,326.8599853515625,378.1600036621094,472.0,132.15199279785156,320.760009765625,371.30999755859375,461.8699951171875,133.32000732421875,325.4800109863281,376.760009765625,465.25,24258400,15264700,33020400,36880900
2023-12-04,130.6300048828125,319.6808166503906,368.4586486816406,455.03863525390625,130.6300048828125,320.0199890136719,369.1400146484375,455.1000061035156,131.4499969482422,320.8599853515625,369.5199890136719,460.7699890136719,129.39999389648438,313.6600036621094,362.8999938964844,450.1000061035156,131.29400634765625,317.2900085449219,369.1000061035156,460.7699890136719,24117100,19037100,32063300,43754300
2023-12-05,132.38999938964844,317.9526672363281,371.8323669433594,465.6381530761719,132.38999938964844,318.2900085449219,372.5199890136719,465.6600036621094,133.5399932861328,321.8800048828125,373.0799865722656,466.0,129.72999572753906,315.3900146484375,365.6199951171875,452.7099914550781,130.3699951171875,318.9800109863281,366.45001220703125,454.6600036621094,19235100,16952100,23065000,37171800
2023-12-06,131.42999267578125,317.1135559082031,368.1192321777344,455.0086669921875,131.42999267578125,317.45001220703125,368.79998779296875,455.0299987792969,133.30999755859375,322.25,374.17999267578125,473.8699951171875,131.30999755859375,317.0400085449219,368.0299987792969,454.1199951171875,132.89999389648438,321.92999267578125,373.5400085449219,472.1499938964844,16360600,11294300,21182100,38059000
2023-12-07,138.4499969482422,326.24383544921875,370.2652893066406,465.9381408691406,138.4499969482422,326.5899963378906,370.95001220703125,465.9599914550781,140.0,328.239990234375,371.45001220703125,466.2900085449219,136.22999572753906,317.7699890136719,366.32000732421875,456.0400085449219,136.60000610351562,317.7699890136719,368.2300109863281,457.0,38419400,15905100,23118900,35082300
2023-12-08,136.63999938964844,332.3973083496094,373.53924560546875,475.0377197265625,136.63999938964844,332.75,374.2300109863281,475.05999755859375,137.99000549316406,333.1700134277344,374.4599914550781,477.4100036621094,135.57000732421875,323.0,368.2300109863281,465.5,135.66000366210938,323.0899963378906,369.20001220703125,465.95001220703125,22990900,14077500,20144800,35880300
2023-12-11,134.6999969482422,324.93524169921875,370.6146240234375,466.24810791015625,134.6999969482422,325.2799987792969,371.29998779296875,466.2699890136719,134.7899932861328,329.8900146484375,371.6000061035156,475.30999755859375,132.88999938964844,320.0,366.1000061035156,458.29998779296875,133.82000732421875,329.3999938964844,368.4800109863281,474.9100036621094,24502900,25802500,27708800,50972800
2023-12-12,133.63999938964844,333.8657531738281,373.68896484375,476.5476379394531,133.63999938964844,334.2200012207031,374.3800048828125,476.57000732421875,134.5399932861328,334.4700012207031,374.4200134277344,476.6600036621094,132.8300018310547,324.55999755859375,370.4599914550781,460.4599914550781,133.27000427246094,324.6000061035156,370.8500061035156,460.4599914550781,26584000,18485500,24838300,37238700
2023-12-13,133.97000122070312,334.38519287109375,373.678955078125,480.8574523925781,133.97000122070312,334.739990234375,374.3699951171875,480.8800048828125,134.77999877929688,338.3699951171875,377.6400146484375,485.94000244140625,132.9499969482422,332.6400146484375,370.7699890136719,476.0799865722656,134.5449981689453,333.92999267578125,376.0199890136719,476.2900085449219,25414500,16353300,30955500,44779200
2023-12-14,133.1999969482422,332.81689453125,365.2545471191406,483.4773254394531,133.1999969482422,333.1700134277344,365.92999267578125,483.5,135.03500366210938,334.70001220703125,373.760009765625,486.70001220703125,131.05999755859375,328.6400146484375,364.1300048828125,474.2200012207031,134.77000427246094,333.8500061035156,373.30999755859375,483.8999938964844,29619100,19607300,43277500,39123200
2023-12-15,133.83999633789062,334.5650329589844,370.04571533203125,488.8770751953125,133.83999633789062,334.9200134277344,370.7300109863281,488.8999938964844,134.8300018310547,338.6600036621094,372.3999938964844,494.0400085449219,132.6300048828125,331.2200012207031,366.2799987792969,481.20001220703125,132.9199981689453,331.989990234375,366.8500061035156,481.94000244140625,58569400,30001600,78478200,47947800
2023-12-18,137.19000244140625,344.2547302246094,371.9621276855469,500.7464904785156,137.19000244140625,344.6199951171875,372.6499938964844,500.7699890136719,138.3800048828125,347.55999755859375,373.0,504.3299865722656,133.77000427246094,337.0199890136719,368.67999267578125,491.5,133.86000061035156,337.4800109863281,369.45001220703125,494.0,25699800,18993900,21802900,41258700
2023-12-19,138.10000610351562,349.9886474609375,372.571044921875,496.0167541503906,138.10000610351562,350.3599853515625,373.260009765625,496.0400085449219,138.77000427246094,353.6000061035156,373.260009765625,497.0,137.4499969482422,345.1199951171875,369.8399963378906,488.95001220703125,138.0,345.5799865722656,371.489990234375,494.239990234375,20661000,17729400,20603700,46444400
2023-12-20,139.66000366210938,348.9097900390625,369.9358825683594,481.08740234375,139.66000366210938,349.2799987792969,370.6199951171875,481.1099853515625,143.0780029296875,354.9599914550781,376.0299987792969,499.989990234375,139.41000366210938,347.7900085449219,370.5299987792969,480.9800109863281,140.3300018310547,348.6499938964844,375.0,496.54998779296875,33507300,16369900,26316700,39789400
2023-12-21,141.8000030517578,353.7146911621094,372.85052490234375,489.87701416015625,141.8000030517578,354.0899963378906,373.5400085449219,489.8999938964844,142.02999877929688,356.4100036621094,374.4100036621094,490.95001220703125,140.47300720214844,349.2099914550781,370.0400085449219,484.19000244140625,140.77000427246094,352.9800109863281,372.55999755859375,488.1099853515625,18101500,15289600,17708000,30042500
2023-12-22,142.72000122070312,353.0154724121094,373.8885803222656,488.2770690917969,142.72000122070312,353.3900146484375,374.5799865722656,488.29998779296875,143.25,357.20001220703125,375.17999267578125,493.8299865722656,142.05499267578125,351.2200012207031,372.7099914550781,484.6700134277344,142.1300048828125,355.5799865722656,373.67999267578125,491.95001220703125,18494700,11764200,17091100,25213900
2023-12-26,142.82000732421875,354.45391845703125,373.96844482421875,492.76690673828125,142.82000732421875,354.8299865722656,374.6600036621094,492.7900085449219,143.94500732421875,356.9800109863281,376.94000244140625,496.0,142.5,353.45001220703125,373.5,489.6000061035156,142.97999572753906,354.989990234375,375.0,489.67999267578125,11170100,9898600,12673100,24420000
2023-12-27,141.44000244140625,357.4507141113281,373.3795471191406,494.1468200683594,141.44000244140625,357.8299865722656,374.07000732421875,494.1700134277344,143.32000732421875,359.0,375.05999755859375,496.79998779296875,141.05099487304688,355.30999755859375,372.80999755859375,490.8500061035156,142.8300018310547,356.07000732421875,373.69000244140625,495.1099853515625,17288400,13207900,14905400,23364800
2023-12-28,141.27999877929688,357.9402160644531,374.5872802734375,495.19677734375,141.27999877929688,358.32000732421875,375.2799987792969,495.2200012207031,142.27000427246094,361.8999938964844,376.4599914550781,498.8399963378906,140.8280029296875,357.80999755859375,374.1600036621094,494.1199951171875,141.85000610351562,359.70001220703125,375.3699951171875,496.42999267578125,12192500,11798800,14327000,24658700
2023-12-29,140.92999267578125,353.5848388671875,375.34588623046875,495.19677734375,140.92999267578125,353.9599914550781,376.0400085449219,495.2200012207031,141.43499755859375,360.0,377.1600036621094,499.9700012207031,139.89999389648438,351.82000732421875,373.4800109863281,487.510009765625,140.67999267578125,358.989990234375,376.0,498.1300048828125,14872700,14980500,18723000,38869000
2024-01-02,139.55999755859375,345.9229736328125,370.1854248046875,481.65740966796875,139.55999755859375,346.2900085449219,370.8699951171875,481.67999267578125,140.61500549316406,353.1600036621094,375.8999938964844,492.95001220703125,137.74000549316406,340.010009765625,366.7699890136719,475.95001220703125,139.60000610351562,351.32000732421875,373.8599853515625,492.44000244140625,20071900,19042200,25258600,41125400
2024-01-03,140.36000061035156,344.1048889160156,369.9159240722656,475.6676940917969,140.36000061035156,344.4700012207031,370.6000061035156,475.69000244140625,141.08999633789062,347.95001220703125,373.260009765625,481.8399963378906,138.42999267578125,343.17999267578125,368.510009765625,473.20001220703125,138.60000610351562,344.9800109863281,369.010009765625,474.8500061035156,18974300,15451100,23083500,32089600
2024-01-04,138.0399932861328,346.7520751953125,367.2608337402344,479.9574890136719,138.0399932861328,347.1199951171875,367.94000244140625,479.9800109863281,140.63499450683594,348.1499938964844,373.1000061035156,485.0,138.00999450683594,343.3999938964844,367.1700134277344,475.0799865722656,139.85000610351562,344.5,370.6700134277344,477.6700134277344,18253300,12099900,20901500,30653500
2024-01-05,137.38999938964844,351.5769958496094,367.0711975097656,490.94696044921875,137.38999938964844,351.95001220703125,367.75,490.9700012207031,138.80999755859375,353.5,372.05999755859375,495.4700012207031,136.85000610351562,346.260009765625,366.5,483.05999755859375,138.3520050048828,346.989990234375,368.9700012207031,484.6199951171875,15433200,13920700,20987000,41456800
2024-01-08,140.52999877929688,358.2798767089844,373.9983825683594,522.5054931640625,140.52999877929688,358.6600036621094,374.69000244140625,522.530029296875,140.63999938964844,358.9800109863281,375.20001220703125,522.75,137.8800048828125,352.04998779296875,369.010009765625,494.7900085449219,138.0,354.70001220703125,369.29998779296875,495.1199951171875,17645300,13890200,23134000,64251000
